RelatedLesson,no_of_occurance,no_of_occurance_future
introduction to computer,7,8
introduction to computer,19,17
data representation,2,1
data representation,4,2
data representation,5,5
data representation,13,16
data representation,17,19
data representation,20,20
data representation,19,18
data representation,4,5
data representation,1,1
data representation,3,5
data representation,9,7
fundamental of digital circuits,12,14
fundamental of digital circuits,19,18
fundamental of digital circuits,20,17
fundamental of digital circuits,20,19
fundamental of digital circuits,5,2
data communication and networking,4,4
data communication and networking,11,12
data communication and networking,10,10
data communication and networking,5,8
data communication and networking,11,11
data communication and networking,15,15
data communication and networking,2,3
computer operating system,3,4
concept of it,5,5
introduction to computer,19,14
concept of it,4,2
concept of it,16,17
introduction to computer,6,7
concept of it,8,9
introduction to computer,8,10
introduction to computer,3,1
introduction to computer,20,19
introduction to computer,4,7
introduction to computer,7,8
introduction to computer,15,12
data representation,16,19
fundamental of digital circuits,16,12
data representation,18,20
data representation,16,14
data representation,10,7
data representation,1,2
data representation,19,13
data representation,14,11
data representation,17,20
fundamental of digital circuits,17,12
fundamental of digital circuits,8,6
computer operating system,13,11
computer operating system,5,8
computer operating system,15,17
computer operating system,4,2
computer operating system,1,1
computer operating system,15,16
computer operating system,15,19
computer operating system,13,13
data communication and networking,14,14
data communication and networking,7,7
data communication and networking,5,5
data communication and networking,3,3
data communication and networking,16,11
data communication and networking,15,17
data communication and networking,6,8
data communication and networking,1,2
data communication and networking,12,10
data communication and networking,4,3
data communication and networking,7,8
data communication and networking,17,19
data communication and networking,4,5
data communication and networking,8,7
data communication and networking,10,10
fundamental of digital circuits,11,11
fundamental of digital circuits,4,3
fundamental of digital circuits,15,16
fundamental of digital circuits,2,2
fundamental of digital circuits,9,8
fundamental of digital circuits,2,3
fundamental of digital circuits,1,2
fundamental of digital circuits,12,10
fundamental of digital circuits,1,4
fundamental of digital circuits,4,1
fundamental of digital circuits,10,12
introduction to computer,12,14
data representation,4,5
data representation,1,9
data representation,15,10
data representation,19,18
data representation,16,19
data representation,4,5
data representation,4,2
data representation,4,6
data representation,14,11
data representation,2,1
data representation,5,3
concept of it,4,7
introduction to computer,6,9
introduction to computer,5,6
computer operating system,2,5
computer operating system,16,12
introduction to computer,5,9
introduction to computer,14,12
introduction to computer,13,10
introduction to computer,5,4
introduction to computer,2,4
introduction to computer,20,18
computer operating system,16,13
computer operating system,17,19
computer operating system,11,17
computer operating system,10,17
computer operating system,18,16
computer operating system,7,7
computer operating system,10,10
computer operating system,11,11
computer operating system,16,16
computer operating system,5,8
data communication and networking,20,18
data communication and networking,18,15
data communication and networking,12,7
introduction to computer,19,17
introduction to computer,20,16
introduction to computer,20,17
concept of it,18,14
data representation,12,13
introduction to computer,2,1
introduction to computer,7,10
concept of it,19,17
fundamental of digital circuits,20,17
programming fundamentals,5,8
programming fundamentals,20,19
introduction to computer,14,8
programming fundamentals,19,17
data representation,14,13
fundamental of digital circuits,5,5
programming fundamentals,19,13
programming fundamentals,20,16
programming fundamentals,5,5
programming fundamentals,4,7
programming fundamentals,20,18
database management,4,8
database management,6,10
database management,5,6
database management,1,3
database management,3,5
database management,14,15
database management,13,16
database management,9,8
internet of things,8,9
internet of things,2,5
programming fundamentals,13,14
internet of things,4,2
internet of things,20,18
programming fundamentals,7,8
programming fundamentals,15,12
programming fundamentals,20,18
programming fundamentals,5,8
programming fundamentals,9,8
programming fundamentals,20,16
programming fundamentals,20,19
programming fundamentals,20,20
programming fundamentals,1,3
programming fundamentals,4,3
web development,16,15
web development,5,6
web development,19,20
web development,3,6
web development,18,20
web development,12,10
data communication and networking,2,1
data communication and networking,15,19
computer operating system,17,14
data representation,3,5
data representation,8,10
data communication and networking,19,20
introduction to computer,17,14
data communication and networking,14,11
data communication and networking,11,11
data communication and networking,20,15
data communication and networking,7,9
data communication and networking,12,13
data communication and networking,2,4
data communication and networking,17,15
introduction to computer,20,19
introduction to computer,15,11
web development,3,2
web development,11,10
web development,10,9
web development,19,19
new trends and future directions of it,3,2
introduction to computer,12,10
internet of things,1,1
fundamental of digital circuits,12,11
fundamental of digital circuits,18,20
programming fundamentals,15,12
programming fundamentals,4,4
programming fundamentals,16,12
database management,14,17
database management,16,11
database management,3,3
system analysis and design,20,20
system analysis and design,14,12
it in business,8,13
new trends and future directions of it,20,19
new trends and future directions of it,5,2
programming fundamentals,2,5
programming fundamentals,5,1
introduction to computer,12,15
computer operating system,10,9
computer operating system,15,12
database management,16,12
database management,19,19
database management,20,16
computer operating system,4,5
system analysis and design,18,18
programming fundamentals,2,5
programming fundamentals,5,3
programming fundamentals,5,13
programming fundamentals,20,19
programming fundamentals,15,11
computer operating system,6,9
computer operating system,8,8
computer operating system,1,1
introduction to computer,13,12
introduction to computer,5,2
data representation,2,3
data representation,15,11
it in business,11,11
programming fundamentals,18,18
fundamental of digital circuits,20,20
fundamental of digital circuits,5,8
data communication and networking,5,8
data representation,4,5
database management,19,19
internet of things,9,9
database management,19,19
computer operating system,20,18
database management,20,19
data communication and networking,4,5
data communication and networking,19,20
data representation,9,9
database management,18,16
internet of things,2,1
introduction to computer,10,9
database management,8,6
it in business,15,15
it in business,18,18
computer operating system,13,13
internet of things,20,20
computer operating system,17,15
data representation,4,3
data representation,5,8
data representation,11,10
data representation,9,7
data representation,14,11
data representation,15,13
data representation,9,7
data representation,10,6
data representation,18,16
data representation,12,10
fundamental of digital circuits,14,10
fundamental of digital circuits,4,2
fundamental of digital circuits,20,18
fundamental of digital circuits,2,3
fundamental of digital circuits,17,15
fundamental of digital circuits,2,4
fundamental of digital circuits,8,7
fundamental of digital circuits,20,18
fundamental of digital circuits,15,14
fundamental of digital circuits,20,19
programming fundamentals,20,20
introduction to computer,19,20
data representation,3,2
data communication and networking,14,13
data communication and networking,16,16
it in business,19,20
system analysis and design,6,8
data communication and networking,15,12
concept of it,13,13
web development,18,16
web development,10,10
computer operating system,19,17
new trends and future directions of it,1,1
system analysis and design,9,9
computer operating system,15,12
database management,3,4
database management,5,6
database management,5,6
introduction to computer,3,2
data representation,6,8
data representation,4,1
data communication and networking,3,1
web development,8,10
data communication and networking,3,5
data communication and networking,3,4
data communication and networking,4,3
data communication and networking,8,9
web development,4,1
data representation,7,13
web development,18,15
web development,19,17
concept of it,5,7
new trends and future directions of it,20,19
system analysis and design,5,4
data communication and networking,19,15
data communication and networking,5,4
fundamental of digital circuits,9,8
fundamental of digital circuits,20,17
fundamental of digital circuits,14,10
programming fundamentals,15,10
programming fundamentals,2,4
programming fundamentals,2,3
programming fundamentals,3,2
programming fundamentals,3,2
programming fundamentals,20,19
programming fundamentals,9,7
programming fundamentals,2,3
programming fundamentals,19,20
computer operating system,17,15
database management,4,6
fundamental of digital circuits,15,11
fundamental of digital circuits,20,18
fundamental of digital circuits,19,17
database management,7,9
database management,16,14
database management,3,1
database management,15,12
database management,4,4
database management,20,14
introduction to computer,5,7
introduction to computer,16,14
data representation,10,10
new trends and future directions of it,7,11
data representation,5,3
programming fundamentals,6,8
programming fundamentals,4,6
new trends and future directions of it,2,4
data communication and networking,5,9
system analysis and design,10,10
system analysis and design,15,12
system analysis and design,5,8
data communication and networking,12,10
data communication and networking,4,1
data communication and networking,17,14
programming fundamentals,6,8
programming fundamentals,14,11
programming fundamentals,16,13
programming fundamentals,16,16
programming fundamentals,17,14
programming fundamentals,5,5
programming fundamentals,12,11
programming fundamentals,7,9
fundamental of digital circuits,19,20
fundamental of digital circuits,2,1
database management,8,12
web development,8,8
web development,14,10
web development,11,15
web development,3,1
data communication and networking,16,14
data communication and networking,4,7
data communication and networking,18,16
introduction to computer,5,6
introduction to computer,20,18
introduction to computer,17,14
it in business,12,13
it in business,18,13
it in business,4,6
system analysis and design,8,10
introduction to computer,15,17
data representation,18,13
web development,12,11
system analysis and design,17,17
computer operating system,5,5
data representation,6,9
computer operating system,7,3
computer operating system,7,7
data communication and networking,8,12
data communication and networking,3,5
data communication and networking,4,2
it in business,19,18
web development,10,12
web development,14,13
web development,10,14
data communication and networking,5,9
data communication and networking,10,14
data communication and networking,19,17
system analysis and design,14,14
data communication and networking,10,10
web development,20,14
programming fundamentals,19,16
web development,15,11
system analysis and design,9,9
it in business,8,6
programming fundamentals,14,11
programming fundamentals,3,4
programming fundamentals,8,10
programming fundamentals,17,14
system analysis and design,16,18
database management,19,18
system analysis and design,5,2
database management,20,18
database management,13,10
database management,15,17
database management,5,6
database management,12,10
database management,20,20
database management,15,12
data representation,1,1
data communication and networking,9,8
programming fundamentals,16,13
programming fundamentals,17,16
programming fundamentals,5,7
programming fundamentals,1,2
programming fundamentals,20,19
system analysis and design,4,2
new trends and future directions of it,20,19
introduction to computer,11,10
data representation,13,11
web development,7,6
introduction to computer,20,19
computer operating system,8,7
data representation,13,15
computer operating system,16,14
computer operating system,19,20
new trends and future directions of it,17,20
fundamental of digital circuits,3,5
data communication and networking,2,2
data communication and networking,3,1
it in business,20,19
web development,2,2
web development,12,16
web development,15,11
data communication and networking,5,2
data communication and networking,1,3
data communication and networking,19,16
system analysis and design,7,9
computer operating system,14,12
data communication and networking,19,15
programming fundamentals,18,17
system analysis and design,15,12
new trends and future directions of it,16,13
programming fundamentals,5,7
database management,20,18
programming fundamentals,20,20
programming fundamentals,19,17
system analysis and design,7,8
computer operating system,15,13
database management,16,14
introduction to computer,19,13
database management,5,7
database management,20,17
database management,2,1
programming fundamentals,10,10
programming fundamentals,9,10
programming fundamentals,15,15
programming fundamentals,16,14
data representation,2,2
system analysis and design,9,10
new trends and future directions of it,20,18
database management,19,17
database management,19,19
database management,13,13
internet of things,8,10
programming fundamentals,4,4
introduction to computer,8,10
introduction to computer,7,9
data representation,5,3
web development,12,14
introduction to computer,5,2
computer operating system,5,4
introduction to computer,2,4
computer operating system,19,18
data representation,15,14
data representation,17,13
data representation,15,12
introduction to computer,20,19
web development,5,6
web development,20,18
web development,6,9
data communication and networking,15,17
system analysis and design,5,4
data communication and networking,6,6
data communication and networking,20,18
data communication and networking,2,1
data communication and networking,5,2
system analysis and design,5,8
database management,1,2
database management,15,17
programming fundamentals,5,3
it in business,19,20
new trends and future directions of it,17,20
new trends and future directions of it,2,3
data communication and networking,5,4
database management,18,16
database management,5,9
database management,15,13
database management,6,8
database management,20,19
database management,8,10
database management,18,16
system analysis and design,15,11
computer operating system,3,1
introduction to computer,5,2
web development,20,16
programming fundamentals,14,15
programming fundamentals,5,7
programming fundamentals,17,14
data representation,16,14
programming fundamentals,12,13
system analysis and design,7,12
system analysis and design,6,7
programming fundamentals,2,2
programming fundamentals,19,20
programming fundamentals,6,12
data representation,5,7
data representation,8,13
data representation,12,11
data representation,2,5
computer operating system,12,10
computer operating system,8,10
computer operating system,7,8
data representation,10,13
data communication and networking,4,10
database management,6,8
database management,3,5
database management,4,3
database management,3,3
data representation,20,19
data representation,17,16
data representation,19,15
web development,14,19
web development,17,13
web development,20,19
database management,3,7
database management,2,11
data representation,1,8
computer operating system,4,2
data representation,2,5
data representation,1,2
web development,2,6
web development,15,15
internet of things,19,14
internet of things,20,18
internet of things,5,6
internet of things,8,11
internet of things,17,18
internet of things,3,7
internet of things,16,11
internet of things,16,16
internet of things,4,3
new trends and future directions of it,20,18
new trends and future directions of it,3,3
it in business,1,3
it in business,5,2
it in business,2,3
it in business,2,3
it in business,2,13
introduction to computer,5,17
introduction to computer,1,1
introduction to computer,2,4
introduction to computer,3,3
data representation,13,10
data representation,20,18
data representation,19,17
data representation,17,14
fundamental of digital circuits,18,20
fundamental of digital circuits,17,19
computer operating system,20,15
computer operating system,4,1
computer operating system,1,2
computer operating system,5,1
data communication and networking,3,3
data communication and networking,8,10
data communication and networking,15,11
data communication and networking,4,4
data communication and networking,3,1
data communication and networking,20,20
system analysis and design,15,14
system analysis and design,19,18
system analysis and design,2,4
system analysis and design,2,7
system analysis and design,4,5
system analysis and design,20,20
system analysis and design,1,8
system analysis and design,4,5
system analysis and design,8,11
database management,15,12
database management,15,13
database management,8,10
database management,20,16
programming fundamentals,4,2
database management,19,16
database management,5,9
programming fundamentals,4,2
programming fundamentals,2,5
web development,18,19
web development,3,4
web development,20,19
web development,3,9
database management,15,17
database management,4,19
introduction to computer,2,1
introduction to computer,1,7
introduction to computer,5,15
introduction to computer,19,20
data representation,20,14
data representation,4,7
data representation,18,15
data representation,5,8
fundamental of digital circuits,3,1
fundamental of digital circuits,8,13
fundamental of digital circuits,19,16
computer operating system,12,15
computer operating system,5,7
computer operating system,20,18
computer operating system,3,12
computer operating system,3,7
data communication and networking,4,5
data communication and networking,5,7
data communication and networking,4,6
data communication and networking,20,18
data communication and networking,12,13
system analysis and design,1,4
system analysis and design,18,19
system analysis and design,2,3
system analysis and design,4,1
database management,5,8
database management,20,16
database management,12,10
database management,4,3
database management,2,8
database management,1,6
programming fundamentals,8,10
programming fundamentals,15,16
programming fundamentals,4,9
programming fundamentals,3,6
programming fundamentals,13,16
programming fundamentals,5,7
programming fundamentals,3,1
web development,20,20
web development,2,7
web development,4,7
web development,5,5
web development,14,17
it in business,15,13
new trends and future directions of it,16,14
new trends and future directions of it,6,7
concept of it,10,13
data communication and networking,3,5
data representation,5,5
web development,20,16
computer operating system,20,19
computer operating system,4,3
data communication and networking,6,7
computer operating system,6,7
data communication and networking,3,5
data representation,20,20
introduction to computer,15,14
web development,19,17
web development,10,13
web development,15,12
database management,6,11
introduction to computer,14,14
data communication and networking,11,11
data communication and networking,20,18
data representation,19,17
concept of it,5,3
data representation,10,12
introduction to computer,4,2
data communication and networking,16,18
data communication and networking,15,16
data communication and networking,5,7
data representation,5,4
data communication and networking,16,16
data communication and networking,20,20
data communication and networking,5,9
introduction to computer,2,2
computer operating system,4,9
data communication and networking,20,19
data representation,3,4
computer operating system,2,7
computer operating system,6,9
computer operating system,18,17
data communication and networking,12,14
data communication and networking,6,6
computer operating system,5,8
data communication and networking,19,18
introduction to computer,2,3
introduction to computer,14,14
data representation,5,1
database management,18,20
data representation,15,11
data representation,8,10
concept of it,15,15
introduction to computer,12,10
introduction to computer,4,6
introduction to computer,4,2
data communication and networking,5,4
database management,16,17
data communication and networking,4,5
data communication and networking,5,7
system analysis and design,8,10
system analysis and design,12,12
data representation,4,2
web development,5,8
data communication and networking,3,5
computer operating system,14,14
computer operating system,4,5
system analysis and design,20,14
system analysis and design,5,6
programming fundamentals,19,19
programming fundamentals,19,20
fundamental of digital circuits,18,16
programming fundamentals,15,12
data communication and networking,16,16
database management,15,13
database management,4,2
database management,6,11
system analysis and design,3,6
web development,20,19
new trends and future directions of it,15,17
web development,6,11
database management,10,4
programming fundamentals,3,6
new trends and future directions of it,6,10
fundamental of digital circuits,12,19
computer operating system,16,14
fundamental of digital circuits,19,17
database management,15,8
introduction to computer,3,18
web development,6,8
data communication and networking,14,20
data communication and networking,17,20
programming fundamentals,10,8
web development,4,7
web development,15,20
programming fundamentals,18,15
programming fundamentals,12,15
programming fundamentals,16,14
new trends and future directions of it,3,1
it in business,4,2
concept of it,5,3
introduction to computer,16,20
